Dataset,Instance,Status,TT,Temps (s),Gap (%),BestBound,Objective,Sequence
20j_5m,instance_8.csv,FEASIBLE,527,155.2820,67.55,171.0,527.0,1 6 12 2 17 4 9 11 5 10 3 7 13 16 18 14 8 19 20 15
20j_5m,instance_9.csv,FEASIBLE,354,0.2173,100.00,0.0,354.0,1 2 5 7 10 15 3 4 6 8 13 16 9 12 14 11 19 17 18 20
20j_5m,instance_1.csv,OPTIMAL,0,0.0798,0.00,0.0,0.0,3 4 6 7 8 9 13 17 16 2 11 14 15 12 1 5 10 19 20 18
20j_5m,instance_10.csv,OPTIMAL,0,0.0767,0.00,0.0,0.0,2 4 5 9 12 16 15 1 7 11 3 8 10 13 18 19 17 20 6 14
20j_5m,instance_2.csv,OPTIMAL,0,0.0750,0.00,0.0,0.0,1 12 14 2 3 6 10 4 19 15 16 17 18 20 5 7 9 8 11 13
20j_5m,instance_3.csv,OPTIMAL,304,12.9739,0.00,304.0,304.0,3 4 15 5 9 11 14 13 10 6 8 16 19 1 2 7 18 20 17 12
20j_5m,instance_4.csv,OPTIMAL,3,0.2692,0.00,3.0,3.0,1 7 11 12 16 18 14 2 13 3 4 9 6 5 8 17 20 10 15 19
20j_5m,instance_5.csv,OPTIMAL,0,0.1177,0.00,0.0,0.0,3 5 4 7 9 10 12 8 1 2 6 11 13 18 19 20 15 17 14 16
20j_5m,instance_6.csv,FEASIBLE,144,3.8762,67.36,47.0,144.0,1 2 11 13 14 20 5 3 4 6 8 7 16 17 9 12 18 15 19 10
20j_5m,instance_7.csv,UNKNOWN,,0.0886,,,,
20j_5m,instance_8.csv,UNKNOWN,,0.0680,,,,
20j_5m,instance_9.csv,FEASIBLE,1749,0.1110,100.00,0.0,1749.0,1 15 4 5 7 10 16 8 13 12 2 6 9 14 11 20 19 18 17 3
20j_5m,instance_1.csv,OPTIMAL,7446,0.0848,0.00,7446.0,7446.0,2 3 8 9 7 12 6 4 11 13 14 15 5 16 17 1 10 18 19 20
20j_5m,instance_10.csv,OPTIMAL,9186,0.0569,0.00,9186.0,9186.0,2 4 5 9 7 11 15 12 16 3 1 6 10 13 8 14 17 18 19 20
20j_5m,instance_2.csv,OPTIMAL,7344,0.0398,0.00,7344.0,7344.0,2 3 6 10 14 4 18 16 19 15 17 5 8 7 9 11 12 1 13 20
20j_5m,instance_3.csv,OPTIMAL,8289,0.0646,0.00,8289.0,8289.0,2 15 1 4 3 5 6 10 8 13 7 9 11 14 16 17 12 19 18 20
20j_5m,instance_4.csv,OPTIMAL,8747,0.0504,0.00,8747.0,8747.0,2 3 4 9 13 18 1 6 5 14 8 16 7 10 11 12 15 17 19 20
20j_5m,instance_5.csv,OPTIMAL,7298,0.0834,0.00,7298.0,7298.0,2 3 5 4 8 1 10 12 6 7 9 19 20 18 11 13 15 17 14 16
20j_5m,instance_6.csv,OPTIMAL,8588,0.0682,0.00,8588.0,8588.0,2 1 3 4 5 6 8 7 13 11 9 10 14 16 17 18 12 15 19 20
20j_5m,instance_7.csv,OPTIMAL,8974,0.0804,0.00,8974.0,8974.0,1 10 2 5 9 13 14 7 15 16 18 3 4 17 11 12 6 8 19 20
20j_5m,instance_8.csv,OPTIMAL,8088,0.0978,0.00,8088.0,8088.0,2 6 3 12 1 4 9 11 17 5 10 7 13 14 15 8 16 18 19 20
20j_5m,instance_9.csv,OPTIMAL,6369,0.0714,0.00,6369.0,6369.0,2 4 5 1 7 3 10 6 8 13 9 15 12 16 11 14 17 18 19 20
20j_5m,instance_1.csv,OPTIMAL,7747,0.0523,0.00,7747.0,7747.0,1 3 9 13 12 8 2 11 4 5 6 7 10 14 15 16 17 18 20 19
20j_5m,instance_10.csv,OPTIMAL,9618,0.0401,0.00,9618.0,9618.0,1 4 9 5 7 2 11 15 12 16 3 6 8 10 13 14 17 18 19 20
20j_5m,instance_2.csv,OPTIMAL,7795,0.0393,0.00,7795.0,7795.0,1 2 3 6 10 14 4 19 18 16 15 17 5 7 8 9 11 12 13 20
20j_5m,instance_3.csv,OPTIMAL,8289,0.0391,0.00,8289.0,8289.0,1 2 15 4 13 3 6 8 10 5 14 11 16 7 9 12 19 17 18 20
20j_5m,instance_4.csv,OPTIMAL,10429,0.0449,0.00,10429.0,10429.0,1 2 3 4 18 6 9 13 14 8 16 5 7 10 11 12 15 17 19 20
20j_5m,instance_5.csv,OPTIMAL,8034,0.0620,0.00,8034.0,8034.0,1 3 5 8 2 7 9 4 10 12 11 13 6 14 15 16 17 18 19 20
20j_5m,instance_6.csv,OPTIMAL,8723,0.0560,0.00,8723.0,8723.0,1 2 3 20 4 5 6 8 14 7 13 11 10 17 16 9 12 15 18 19
20j_5m,instance_7.csv,OPTIMAL,8904,0.0590,0.00,8904.0,8904.0,1 10 2 14 5 9 13 7 16 15 3 4 17 18 6 8 12 11 19 20
20j_5m,instance_8.csv,OPTIMAL,8088,0.0810,0.00,8088.0,8088.0,1 6 2 3 4 11 9 10 5 12 7 8 17 13 14 15 16 18 19 20
20j_5m,instance_9.csv,OPTIMAL,8078,0.0669,0.00,8078.0,8078.0,1 2 4 5 7 3 10 8 13 15 9 12 16 6 11 14 17 18 19 20
20j_5m,instance_1.csv,OPTIMAL,8548,0.0581,0.00,8548.0,8548.0,1 3 9 12 8 2 7 11 6 13 14 4 15 10 17 5 16 18 19 20
20j_5m,instance_10.csv,OPTIMAL,9846,0.0480,0.00,9846.0,9846.0,1 4 9 5 7 2 15 11 3 16 6 8 12 13 10 14 17 18 19 20
20j_5m,instance_2.csv,OPTIMAL,8985,0.0441,0.00,8985.0,8985.0,1 3 6 10 14 4 19 18 2 16 15 5 8 7 9 11 12 13 17 20
20j_5m,instance_3.csv,OPTIMAL,6532,0.0688,0.00,6532.0,6532.0,1 2 4 3 5 6 8 10 13 15 14 11 7 9 12 16 17 19 18 20
20j_5m,instance_4.csv,OPTIMAL,9630,0.0412,0.00,9630.0,9630.0,1 2 3 4 9 18 6 5 13 14 8 16 12 11 7 10 15 17 19 20
20j_5m,instance_5.csv,OPTIMAL,8647,0.0712,0.00,8647.0,8647.0,1 3 5 8 2 7 9 4 10 12 11 13 6 14 15 16 17 18 19 20
20j_5m,instance_6.csv,OPTIMAL,8679,0.1590,0.00,8679.0,8679.0,1 2 3 20 4 5 8 6 14 7 13 11 17 16 9 10 12 15 18 19
20j_5m,instance_7.csv,OPTIMAL,8448,0.0549,0.00,8448.0,8448.0,1 10 2 14 9 5 13 7 16 15 3 4 17 18 6 8 12 11 19 20
20j_5m,instance_8.csv,OPTIMAL,6759,0.0832,0.00,6759.0,6759.0,1 12 2 3 6 4 11 9 5 10 7 8 17 13 14 15 16 18 19 20
20j_5m,instance_9.csv,OPTIMAL,7916,0.0852,0.00,7916.0,7916.0,1 4 5 15 2 7 8 10 13 3 9 12 11 14 16 6 17 18 19 20
20j_5m,instance_1.csv,OPTIMAL,0,0.0781,0.00,0.0,0.0,3 4 6 7 8 9 13 17 16 2 11 14 15 12 1 5 10 19 20 18
20j_5m,instance_10.csv,OPTIMAL,0,0.0671,0.00,0.0,0.0,2 4 5 9 12 16 15 1 7 11 3 8 10 13 18 19 17 20 6 14
20j_5m,instance_2.csv,OPTIMAL,0,0.0819,0.00,0.0,0.0,1 12 14 2 3 6 10 4 19 15 16 17 18 20 5 7 9 8 11 13
20j_5m,instance_3.csv,OPTIMAL,304,14.1059,0.00,304.0,304.0,3 4 15 5 9 11 14 13 10 6 8 16 19 1 2 7 18 20 17 12
20j_5m,instance_4.csv,OPTIMAL,3,0.1979,0.00,3.0,3.0,1 7 11 12 16 18 14 2 13 3 4 9 6 5 8 17 20 10 15 19
20j_5m,instance_5.csv,OPTIMAL,0,0.0969,0.00,0.0,0.0,3 5 4 7 9 10 12 8 1 2 6 11 13 18 19 20 15 17 14 16
20j_5m,instance_6.csv,FEASIBLE,159,2.1030,95.60,7.0,159.0,2 6 13 14 20 11 1 5 3 4 7 8 16 17 9 12 18 10 19 15
20j_5m,instance_7.csv,OPTIMAL,50,0.2775,0.00,50.0,50.0,5 15 16 1 10 2 7 9 13 14 18 4 17 8 11 12 3 19 20 6
20j_5m,instance_8.csv,UNKNOWN,,0.1210,,,,
20j_5m,instance_9.csv,FEASIBLE,1054,0.2246,100.00,0.0,1054.0,1 3 4 5 7 10 15 6 11 14 16 13 18 20 19 17 9 8 12 2
20j_5m,instance_1.csv,OPTIMAL,0,0.0784,0.00,0.0,0.0,3 4 6 7 8 9 13 17 16 2 11 14 15 12 1 5 10 19 20 18
20j_5m,instance_10.csv,OPTIMAL,0,0.0662,0.00,0.0,0.0,2 4 5 9 12 16 15 1 7 11 3 8 10 13 18 19 17 20 6 14
20j_5m,instance_2.csv,OPTIMAL,0,0.0838,0.00,0.0,0.0,1 12 14 2 3 6 10 4 19 15 16 17 18 20 5 7 9 8 11 13
